         337545 function calls (333626 primitive calls) in 1.927 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       63    0.967    0.015    0.967    0.015 {built-in method _overlapped.GetQueuedCompletionStatus}
      418    0.205    0.000    0.669    0.002 c:\Users\arshdeep.singh\Downloads\python_adv\Async_Cprofiling_CSV.py:8(fetch_dataframe)
      209    0.155    0.001    0.155    0.001 {built-in method io.open}
     2806    0.038    0.000    0.062    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\cast.py:1157(maybe_infer_to_datetimelike)
52420/52334    0.022    0.000    0.038    0.000 {built-in method builtins.isinstance}
      210    0.021    0.000    0.021    0.000 {method '__exit__' of '_io._IOBase' objects}
     4424    0.021    0.000    0.033    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\numeric.py:274(full)
     1540    0.021    0.000    0.085    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\construction.py:517(sanitize_array)
     1368    0.020    0.000    0.060    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:1028(convert)
      626    0.015    0.000    0.015    0.000 {built-in method _codecs.charmap_decode}
    47256    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
      460    0.014    0.000    0.014    0.000 {built-in method builtins.next}
      209    0.013    0.000    0.013    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:849(_list_to_arrays)
32726/29895    0.011    0.000    0.014    0.000 {built-in method builtins.len}
       59    0.009    0.000    1.704    0.029 C:\Program Files\Python311\Lib\asyncio\base_events.py:1845(_run_once)
       14    0.009    0.001    0.009    0.001 {built-in method nt.scandir}
      848    0.009    0.000    0.721    0.001 {method 'run' of '_contextvars.Context' objects}
     4731    0.008    0.000    0.008    0.000 {built-in method numpy.empty}
      209    0.008    0.000    0.094    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:596(_homogenize)
      209    0.008    0.000    0.246    0.001 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\frame.py:683(__init__)
      209    0.007    0.000    0.030    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:2189(_form_blocks)
      102    0.007    0.000    0.044    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\format.py:1197(_format_strings)
4676/4596    0.007    0.000    0.007    0.000 {built-in method numpy.asarray}
     6417    0.006    0.000    0.009    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\generic.py:37(_check)
      209    0.006    0.000    0.010    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:2245(_stack_arrays)
    12390    0.006    0.000    0.009    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\printing.py:510(len)
