         1252021 function calls (1208984 primitive calls) in 1.722 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.992    0.037    0.992    0.037 {built-in method _overlapped.GetQueuedCompletionStatus}
    40930    0.105    0.000    0.141    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\json\_normalize.py:182(<dictcomp>)
696520/696436    0.085    0.000    0.088    0.000 {built-in method builtins.isinstance}
    40930    0.079    0.000    0.114    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\json\_normalize.py:184(<dictcomp>)
    40930    0.075    0.000    0.374    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\json\_normalize.py:167(_normalise_json_ordered)
        6    0.068    0.011    0.068    0.011 C:\Program Files\Python311\Lib\json\decoder.py:343(raw_decode)
  40936/6    0.028    0.000    0.421    0.070 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\json\_normalize.py:192(_simple_json_normalize)
    40930    0.025    0.000    0.035    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\json\_normalize.py:126(_normalise_json)
        6    0.022    0.004    0.022    0.004 {built-in method _codecs.charmap_decode}
    40936    0.019    0.000    0.023    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:915(<genexpr>)
        6    0.016    0.003    0.046    0.008 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:891(_list_of_dict_to_arrays)
   123039    0.015    0.000    0.015    0.000 {method 'items' of 'dict' objects}
        6    0.014    0.002    0.421    0.070 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\json\_normalize.py:240(<listcomp>)
        6    0.012    0.002    0.034    0.006 {method 'read' of '_io.TextIOWrapper' objects}
       42    0.007    0.000    0.008    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:1028(convert)
        6    0.006    0.001    0.006    0.001 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:922(<listcomp>)
     5766    0.006    0.000    0.008    0.000 C:\Program Files\Python311\Lib\re\__init__.py:272(_compile)
        6    0.005    0.001    0.487    0.081 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\json\_normalize.py:245(json_normalize)
       36    0.004    0.000    0.599    0.017 {method 'run' of '_contextvars.Context' objects}
    40932    0.004    0.000    0.004    0.000 {method 'keys' of 'dict' objects}
     5720    0.003    0.000    0.013    0.000 C:\Program Files\Python311\Lib\re\__init__.py:163(match)
16617/15268    0.003    0.000    0.003    0.000 {built-in method builtins.len}
       18    0.003    0.000    0.003    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:2245(_stack_arrays)
     5732    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
       24    0.002    0.000    0.002    0.000 {built-in method nt.get_terminal_size}
     5720    0.002    0.000    0.015    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\format.py:1816(is_number_with_decimal)
     1300    0.002    0.000    0.005    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\_config\config.py:127(_get_single_key)
       72    0.002    0.000    0.011    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\format.py:1197(_format_strings)
     7594    0.002    0.000    0.003    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\printing.py:510(len)
