         1080338 function calls (1039334 primitive calls) in 6.974 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    6.002    1.000    6.002    1.000 {built-in method time.sleep}
    40930    0.171    0.000    0.230    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\json\_normalize.py:182(<dictcomp>)
    40930    0.131    0.000    0.188    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\json\_normalize.py:184(<dictcomp>)
   667702    0.131    0.000    0.132    0.000 {built-in method builtins.isinstance}
    40930    0.118    0.000    0.608    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\json\_normalize.py:167(_normalise_json_ordered)
        6    0.098    0.016    0.098    0.016 C:\Program Files\Python311\Lib\json\decoder.py:343(raw_decode)
  40936/6    0.045    0.000    0.684    0.114 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\json\_normalize.py:192(_simple_json_normalize)
    40930    0.041    0.000    0.056    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\json\_normalize.py:126(_normalise_json)
        6    0.034    0.006    0.066    0.011 {method 'read' of '_io.TextIOWrapper' objects}
        6    0.032    0.005    0.032    0.005 {built-in method _codecs.charmap_decode}
    40936    0.032    0.000    0.039    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:915(<genexpr>)
        6    0.027    0.005    0.077    0.013 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:891(_list_of_dict_to_arrays)
   122790    0.023    0.000    0.023    0.000 {method 'items' of 'dict' objects}
        6    0.023    0.004    0.684    0.114 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\json\_normalize.py:240(<listcomp>)
       42    0.013    0.000    0.014    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:1028(convert)
        6    0.009    0.002    0.009    0.002 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:922(<listcomp>)
    40930    0.007    0.000    0.007    0.000 {method 'keys' of 'dict' objects}
        6    0.006    0.001    0.794    0.132 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\json\_normalize.py:245(json_normalize)
        1    0.006    0.006    6.974    6.974 c:\Users\arshdeep.singh\Downloads\python_adv\cProfiling.py:17(main)
        6    0.005    0.001    0.005    0.001 {built-in method io.open}
       18    0.003    0.000    0.004    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:2245(_stack_arrays)
        3    0.002    0.001    0.002    0.001 {method 'argsort' of 'numpy.ndarray' objects}
        4    0.001    0.000    0.004    0.001 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:2275(_merge_blocks)
      126    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
        1    0.001    0.001    0.001    0.001 {built-in method nt.listdir}
        6    0.001    0.000    0.165    0.027 C:\Program Files\Python311\Lib\json\__init__.py:274(load)
       54    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\cast.py:1157(maybe_infer_to_datetimelike)
        6    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       48    0.001    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\construction.py:517(sanitize_array)
        6    0.001    0.000    6.967    1.161 c:\Users\arshdeep.singh\Downloads\python_adv\cProfiling.py:9(fetch_dataframe)
        3    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\shape_base.py:219(vstack)
      102    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\numeric.py:274(full)
        6    0.000    0.000    0.005    0.001 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:2189(_form_blocks)
       12    0.000    0.000    0.000    0.000 <frozen ntpath>:154(splitdrive)
        6    0.000    0.000    0.012    0.002 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:96(arrays_to_mgr)
        6    0.000    0.000    0.092    0.015 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:793(to_arrays)
        6    0.000    0.000    0.105    0.017 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\frame.py:683(__init__)
